Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;1.26;1.8;0.59
2008;78.8;-13.72;-22;3.67;1.8;2.67
2009;67;-12.46;-17.85;3.29;1.8;2.58
2010;83.75;-8.05;-13.6;2.72;1.8;2.06
2011;105;-3.58;-9.82;1.63;1.8;1.98
2012;105;-4.8;-10.81;1.22;1.8;1.46
