Pred Year,Pred brent 2012,Pred FO 1% 2012,Pred FO 3.5% 2012,Pred Gasoil 2012,TD 2012,Actual 2012,MD 2012
2006,35,-5.9,-10.9,8.91,-1.97,-1.5,-3.26
2007,35,-5.9,-10.9,8.91,-1.97,-1.5,-3.99
2008,82.5,-13.65,-22.31,18.06,-3.66,-1.5,-4.69
2009,63,-10.86,-16.14,13.96,-2.83,-1.5,-3.75
2010,85,-7.44,-12.9,14.05,-2.37,-1.5,-3.37
2011,110,-4.09,-10.13,19.05,-2.9,-1.5,-3.21
