Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;Pred Jet 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;22.9;-7.08;-2.8;-5.07
2009;71;-13.27;-18.76;18.56;-3.47;-2.8;-4.66
2010;82.5;-8.44;-14.03;18.61;-2.74;-2.8;-3.01
2011;100;1.37;-4.22;28.11;-2.57;-2.8;-2.87
2012;100;-6.84;-11.13;17.09;-2.13;-2.8;-0.37
2013;100;-7.03;-12.15;17.34;-1.94;-2.8;-1.4
