Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;-3.51;-2.6;-3.03
2007;35;-5.9;-10.9;-3.05;-2.6;-3.12
2008;82.5;-13.65;-22.31;-5.43;-2.6;-4.8
2009;63;-10.86;-16.14;-4.79;-2.6;
2010;85;-7.44;-12.9;-3.7;-2.6;-1.73
2011;110;-4.09;-10.13;-1.48;-2.6;-1.52
