Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Jet 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;11.28;-4.35;-1.9;-4.41
2008;78.8;-13.72;-22;23.32;-7.05;-1.9;-5.17
2009;67;-12.46;-17.85;17.69;-3.32;-1.9;-4.57
2010;83.75;-8.05;-13.6;17.74;-2.64;-1.9;-3.09
2011;105;-3.58;-9.82;22.56;-2.34;-1.9;-2.64
2012;105;-4.8;-10.81;17.04;-1.22;-1.9;-0.13
