Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Jet 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;11.28;-9.31;-5.6;-6.81
2008;78.8;-13.72;-22;23.32;-15.72;-5.6;-11.72
2009;67;-12.46;-17.85;17.69;-9.95;-5.6;
2010;83.75;-8.05;-13.6;17.74;-8.86;-5.6;0
2011;105;-3.58;-9.82;22.56;-8.59;-5.6;-6.43
2012;105;-4.8;-10.81;17.04;-6.63;-5.6;-5.02
