Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;Pred Jet 2011;Pred ULSD 2011;Pred VGO 2% 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;11.03;11.61;-28;-3.76;-2.7;0
2006;35;-5.74;-10.74;11.28;11.73;-1.8;-4.03;-2.7;-3.33
2007;44;-8.58;-13.13;13.52;12.99;-2.65;-4.69;-2.7;-3.99
2008;83.3;-13.55;-22.58;24.56;24.38;-3.43;-6.74;-2.7;-6.04
2009;59;-9.26;-14.37;15.98;16.31;-3.16;-3.46;-2.7;
2010;82;-7.32;-12.52;15.69;15.71;-2.67;-3.65;-2.7;-3.77
