Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;-1.9;-1.1;-3.21
2007;35;-5.9;-10.9;-1.9;-1.1;-3.76
2008;82.5;-13.65;-22.31;-3.51;-1.1;-4.65
2009;63;-10.86;-16.14;-3.43;-1.1;-3.01
2010;85;-7.44;-12.9;-2.62;-1.1;-3.39
2011;110;-4.09;-10.13;-1.97;-1.1;-3.68
