Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;-3.04;-3.2;-3.06
2008;78.8;-13.72;-22;-5.29;-3.2;-4.7
2009;67;-12.46;-17.85;-5.11;-3.2;
2010;83.75;-8.05;-13.6;-3.91;-3.2;-1.96
2011;105;-3.58;-9.82;-1.62;-3.2;-1.26
2012;105;-4.8;-10.81;-0.69;-3.2;-1.56
