Pred Year;Pred brent 2012;TD 2012;Actual 2012;MD 2012
2006;35;0.51;1.5;0.14
2007;35;0.32;1.5;0.17
2008;82.5;0.56;1.5;0.95
2009;63;0.8;1.5;1.1
2010;85;0.75;1.5;1.25
2011;110;0.77;1.5;1.22
