Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;Pred Jet 2014;Pred ULSD 2014;Pred VGO 2% 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;22.9;22.6;-3.3;-4.64;-2.8;-3.94
2009;71;-13.27;-18.76;18.56;18.97;-3.91;-4.08;-2.8;
2010;82.5;-8.44;-14.03;18.61;18.86;-2.68;-3.89;-2.8;-3.52
2011;100;1.37;-4.22;28.11;29.72;8.96;-3.74;-2.8;-2.54
2012;100;-6.84;-11.13;17.09;18.12;1.72;-2.72;-2.8;-2.32
2013;100;-7.03;-12.15;17.34;18.45;1.87;-2;-2.8;-1.3
