Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;Pred Butane 2012;Pred VGO 0.5% 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;-5.78;0.58;2.16;-17.5;1.61
2007;35;-5.9;-10.9;-5.78;0.58;2.59;-17.5;1.1
2008;82.5;-13.65;-22.31;-23.87;0.87;1.81;-17.5;1.49
2009;63;-10.86;-16.14;-16.06;0.02;2.37;-17.5;1.47
2010;85;-7.44;-12.9;-21.83;0.99;3.15;-17.5;2.77
2011;110;-4.09;-10.13;-24.07;8.28;2.26;-17.5;-13.42
