Pred Year;Pred brent 2014;Pred Propane 2014;Pred Naphtha 2014;Pred Butane 2014;TD 2014;Actual 2014;MD 2014
2008;75;-25.16;-3.1;-20.54;7.45;-1.9;-0.09
2009;71;-25.76;-3.48;-18.89;2.63;-1.9;0.39
2010;82.5;-30.05;-3.37;-21.56;1.26;-1.9;-1.05
2011;100;-29.88;6.42;-17.94;-1.14;-1.9;-2.47
2012;100;-38.59;-5.89;-27.5;-1.99;-1.9;-3.5
2013;100;-40.53;-8.43;-30.05;-1.7;-1.9;-4.8
