Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;Pred Jet 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;11.03;-8.06;-7.1;-6.56
2006;35;-5.74;-10.74;11.28;-8.75;-7.1;-6.25
2007;44;-8.58;-13.13;13.52;-10.24;-7.1;-7.74
2008;83.3;-13.55;-22.58;24.56;-16.54;-7.1;-12.54
2009;59;-9.26;-14.37;15.98;-8.58;-7.1;
2010;82;-7.32;-12.52;15.69;-8.13;-7.1;0
