Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;Pred Jet 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;11.03;-4.54;-3.2;-4.41
2006;35;-5.74;-10.74;11.28;-4.11;-3.2;-3.97
2007;44;-8.58;-13.13;13.52;-5.47;-3.2;-4.73
2008;83.3;-13.55;-22.58;24.56;-7.24;-3.2;-5.6
2009;59;-9.26;-14.37;15.98;-2.72;-3.2;-4.13
2010;82;-7.32;-12.52;15.69;-2.53;-3.2;-3.07
