Pred Year;Pred brent 2011;Pred FO 1% 2011;Pred FO 3.5% 2011;Pred Propane 2011;Pred Naphtha 2011;TD 2011;Actual 2011;MD 2011
2005;28;-5.7;-9.57;-7.4;1.92;;2.4;
2006;35;-5.74;-10.74;-9.94;0.26;1.23;2.4;-0.1
2007;44;-8.58;-13.13;-12.9;-0.24;1.29;2.4;0.29
2008;83.3;-13.55;-22.58;-30.55;-2.81;2.22;2.4;0.75
2009;59;-9.26;-14.37;-20.64;-2.59;1.88;2.4;0.71
2010;82;-7.32;-12.52;-29.1;-2.29;2.2;2.4;0.6
