Pred Year;Pred brent 2011;TD 2011;Actual 2011;MD 2011
2005;28;0.33;2.1;0.1
2006;35;0.51;2.1;0.14
2007;44;0.34;2.1;0.19
2008;83.3;0.59;2.1;1.09
2009;59;0.77;2.1;1.07
2010;82;0.7;2.1;1.2
