Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Jet 2013;Pred ULSD 2013;Pred VGO 2% 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;11.28;11.59;-2.03;-4.57;-1.5;-3.87
2008;78.8;-13.72;-22;23.32;23.05;-3.37;-6.32;-1.5;-5.62
2009;67;-12.46;-17.85;17.69;18.03;-3.66;-3.93;-1.5;
2010;83.75;-8.05;-13.6;17.74;17.87;-2.72;-3.84;-1.5;-3.47
2011;105;-3.58;-9.82;22.56;23.94;4.49;-3.79;-1.5;-2.59
2012;105;-4.8;-10.81;17.04;18.15;2.14;-2.81;-1.5;-2.28
