Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;Pred Jet 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;11.28;-6.43;-12.1;-7.24
2007;35;-5.9;-10.9;11.28;-6.19;-12.1;-7.71
2008;82.5;-13.65;-22.31;24.05;-15.12;-12.1;-12.03
2009;63;-10.86;-16.14;16.82;-9.31;-12.1;-9.37
2010;85;-7.44;-12.9;17.04;-8.31;-12.1;-8.81
2011;110;-4.09;-10.13;22.01;-6.72;-12.1;-6.62
