Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Jet 2013;Pred Gasoil 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;11.28;8.78;;-10.6;
2008;78.8;-13.72;-22;23.32;17.64;;-10.6;
2009;67;-12.46;-17.85;17.69;14.75;;-10.6;
2010;83.75;-8.05;-13.6;17.74;14.83;-11.68;-10.6;0
2011;105;-3.58;-9.82;22.56;20.02;-11.05;-10.6;-7.54
2012;105;-4.8;-10.81;17.04;14.77;-8.28;-10.6;-6.84
