Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;Pred Jet 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;22.9;-15.58;-7;-11.58
2009;71;-13.27;-18.76;18.56;-10.38;-7;
2010;82.5;-8.44;-14.03;18.61;-9.17;-7;0
2011;100;1.37;-4.22;28.11;-8.46;-7;-6.1
2012;100;-6.84;-11.13;17.09;-6.66;-7;-5.17
2013;100;-7.03;-12.15;17.34;-6.88;-7;-5.3
