Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;Pred Jet 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;11.28;-4.19;-1.1;-4.05
2007;35;-5.9;-10.9;11.28;-4.37;-1.1;-4.34
2008;82.5;-13.65;-22.31;24.05;-7.08;-1.1;-5.18
2009;63;-10.86;-16.14;16.82;-3.04;-1.1;-4.38
2010;85;-7.44;-12.9;17.04;-5.51;-1.1;-2.86
2011;110;-4.09;-10.13;22.01;-2.27;-1.1;-2.59
