Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;-3.38;-1;-4.67
2009;71;-13.27;-18.76;-3.81;-1;-3.3
2010;82.5;-8.44;-14.03;-2.87;-1;-3.57
2011;100;1.37;-4.22;-1.99;-1;-3.68
2012;100;-6.84;-11.13;-1.32;-1;-2.77
2013;100;-7.03;-12.15;-1.39;-1;-2.3
