Date;Dated Brent;Propane;Gasoline;Jet;Gasoil;FO 1%;ULSD;Naphtha;Butane;FO 3.5%;VGO 0.5%;FO 0.5%;VGO 2%;
01.04.2003;24.9;-7.498606642;;6.072302635;;-1.219632115;;0.400374912;-8.920618459;-5.765998475;2.844997568;;0.741229192;
01.05.2003;25.7;-8.463624795;;4.799697307;;-2.093604338;;-1.717085904;-11.16526927;-5.252969508;1.508368067;;0.305275528;
01.06.2003;27.5;-6.825916396;;4.072309509;;-0.656555433;;0.119593199;-10.24725361;-5.504820407;0.796112787;;-0.54003058;
01.07.2003;28.4;-8.146434578;;4.856751983;;0.853233743;;-0.094496784;-9.101458241;-3.563515035;0.153750676;;-1.934010766;
01.08.2003;29.8;-9.130707946;;5.235929071;;-0.606311087;;0.222153451;-10.10770015;-5.449089958;0.021013334;;-2.541076009;
01.09.2003;27.1;-7.084134335;;5.438310409;;-1.825401708;;0.895273031;-7.089473553;-4.953627558;1.530235491;;-0.093610724;
01.10.2003;29.7;-7.235504409;;6.445424141;;-3.283636689;;0.878125453;-7.301896428;-6.483513323;0.755568412;;-0.536705613;
01.11.2003;28.7;-4.629963587;;9.206794978;;-2.812167721;;3.323999444;-5.107645654;-5.591935659;0.920869685;;-0.406147961;
01.12.2003;29.9;-5.219681318;;10.0285873;;-5.602257734;;3.846998114;-5.109027953;-9.990115664;-0.925226195;;-3.36199595;
01.01.2004;31.2;-4.693917562;;10.38215685;;-5.956429485;;5.41621802;-5.103257635;-9.990192013;0.761120783;;-0.902171089;
01.02.2004;30.8;-6.994424041;;9.412049905;;-6.861493041;;3.665943826;-7.137337118;-9.891225626;0.067570292;;-3.736305901;
01.03.2004;33.8;-8.593992884;;6.879706874;;-8.742326737;;2.615666925;-9.86054833;-11.63376365;-1.834214951;;-5.038174152;
01.04.2004;33.2;-8.32225582;;10.98791265;;-7.346185966;;3.800101881;-10.33692087;-9.832817874;-2.494676874;;-3.894997699;
01.05.2004;37.8;-10.3277339;;11.26863561;;-8.213650543;;3.823821177;-12.03001231;-11.9722572;1.68568343;;-3.879284819;
01.06.2004;35;-8.823644194;;11.02983471;;-6.289495349;;3.924258267;-10.45388553;-11.11808603;0.292188971;;-2.061401899;
