Pred Year;Pred brent 2014;TD 2014;Actual 2014;MD 2014
2008;75;0.52;1.3;0.88
2009;71;0.87;1.3;1.17
2010;82.5;0.77;1.3;1.27
2011;100;0.78;1.3;1.28
2012;100;0.65;1.3;1.3
2013;100;0.87;1.3;1.47
