Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;Pred Jet 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;11.28;-8.84;-5.5;-6.34
2007;35;-5.9;-10.9;11.28;-9.33;-5.5;-6.83
2008;82.5;-13.65;-22.31;24.05;-16.1;-5.5;-12.1
2009;63;-10.86;-16.14;16.82;-9.24;-5.5;
2010;85;-7.44;-12.9;17.04;-8.46;-5.5;0
2011;110;-4.09;-10.13;22.01;-8.25;-5.5;-6.63
