Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;Pred Propane 2012;Pred Naphtha 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;-9.79;0.37;1.21;1.8;-0.13
2007;35;-5.9;-10.9;-9.79;0.37;1.29;1.8;0.27
2008;82.5;-13.65;-22.31;-28.66;-2.86;2.16;1.8;0.88
2009;63;-10.86;-16.14;-22.09;-2.52;2.04;1.8;0.77
2010;85;-7.44;-12.9;-30.69;-2.93;2.39;1.8;0.73
2011;110;-4.09;-10.13;-36.65;1.28;2.16;1.8;1.41
