Date;Dated Brent;Bonny light;Mars;WTI;Maya Europe;Maya USGC;ESPO;Urals NWE;Urals MED;Dubai;LLS;Arab light;Arab Heavy;Azeri BTC;Tapis;Dalia;Oman;Oseberg blend;ORL
01.10.2014;87.4;1.4;-3.8;-3.1;-10.3;-9.2;0.4;-1.3;-0.8;-0.8;0.2;-3.55;-8.15;2.1;3.4;-2.6;-0.7;0.725;-2.03
01.11.2014;78.9;1.2;-3.1;-3.4;-11.5;-7.8;0.4;-1.1;0;-2.6;0.7;-3.95;-8.35;0.8;3.1;-2.7;-1.1;0.736;-2.4875
01.12.2014;62.5;0.6;-4.4;-3.2;-13.7;-10.3;1;-1.7;-1;-2.3;-0.6;-3.35;-7.95;0.9;4;-3.4;-1.4;1.042;-2.875
01.01.2015;47.9;0.2;-3.1;-0.5;-14.1;-8.5;1.4;-1.2;-0.8;-2.3;1;-3.15;-7.45;1.7;4.4;-2.9;-1.2;0.621;-3.07
01.02.2015;58.1;1.1;-6.9;-7.3;-15.1;-10.7;1.2;-1.1;-0.3;-2.7;-2.9;-4.65;-8.85;1.9;3;-3;-1.9;1.214;-2.575
01.03.2015;55.9;1.6;-4.6;-8;-14;-10.3;1.9;-1.7;-0.9;-1.3;-1.5;-3.95;-7.7;1.4;4;-2;-0.8;1.275;-1.925
01.04.2015;59.8;1;-2.1;-5.1;-13.7;-7.6;1.7;-0.9;0.2;-1.2;0.9;-3.75;-7.9;1.7;4;-1.6;-1.1;0.476;-1.95
01.05.2015;64.3;0.7;-2.6;-4.9;-13.6;-7.7;1.8;-0.7;0;-0.8;0.6;-3.95;-7.8;0.8;4.3;-2.2;-0.7;0.206;-2.18
01.06.2015;61.7;0.3;-2.3;-1.8;-12;-4.6;2.9;-0.5;0.8;0.1;1.5;-2.65;-6.4;1;4.3;-1.7;0.1;-0.142;-2.15
01.07.2015;56.5;0.4;-6.4;-5.4;-12.7;-7.4;1.1;-1.4;-0.7;-0.4;-1.8;-2.9;-6.9;1.1;1.4;-3;-0.3;0.794;-2.08
01.08.2015;46.6;0.7;-4.1;-3.7;-13;-7.4;0.9;-1.1;-0.5;1;0.4;-2.65;-6.45;1.5;2;-2.3;1;0.866;-2.125
01.09.2015;47.6;1;-4.5;-2.2;-14;-8.1;-0.2;-1.3;-0.4;-2.2;1;-3.05;-6.45;1.4;2;-2.4;-2;0.851;-1.7375
01.10.2015;48.6;0.8;-6.7;-2.2;-14.4;-9.4;1.7;-2.3;-1.1;-2.7;-1.2;-3.55;-7.35;1.5;2.2;-2.7;-2.5;0.937;-1.62
01.11.2015;44.3;0.1;-4.4;-1.3;-14.3;-9;1.3;-2.4;-1.2;-2.6;0.2;-3.45;-7.25;0.9;4.1;-2.4;-2.3;0.642;-0.8525
01.12.2015;38.2;0.1;-3.5;-0.8;-14.7;-9.5;0.7;-2.3;-1.2;-3.6;0.7;-4.75;-8.5;0.3;3.6;-3.5;-3.6;1.06;-0.39
01.01.2016;30.7;0.2;-3.2;1;-12;-30.7;1;-2.4;-1.1;-3.9;2.1;-4.25;-8.1;1.6;3.3;-3.1;-3.4;0.867;0.64
01.02.2016;32.5;0.2;-4.7;-1.8;-10.2;-7.6;1.9;-2.2;-1.2;-3.2;0;-4.85;-8.5;0.9;2.8;-2.9;-2.3;0.871;0.8675
01.03.2016;38.5;0.3;-3.9;-0.5;-11;-9;1.2;-2.3;-1.3;-3.3;1.6;-4.95;-7.7;1.3;2.5;-2.7;-2.3;0.883;0.89
01.04.2016;41.5;0.4;-4.1;-0.3;-11.9;-9.5;0.2;-2.1;-1;-2.5;1.2;-4.6;-7.5;1.5;2;-2.9;-2.1;0.935;0.89
01.05.2016;46.9;0.3;-3.4;0.1;-11.8;-8;-0.3;-2.6;-1.7;-2.6;1.8;-4.6;-8.2;1.2;0.8;-3.7;-2.5;1.123;0.89
01.06.2016;48.3;0.1;-3.1;0.6;-12.6;-6;-0.1;-2;-1.2;-2.1;2.2;-4.45;-8.05;1.1;1.8;-2.4;-1.8;0.65;0.89
01.07.2016;45.1;1;-3.7;-0.1;-10.7;-5.3;-0.3;-1.7;-0.8;-2.6;1.3;-4.8;-8.6;1.8;2.3;-2.8;-1.8;0.741;-1.5
01.08.2016;45.8;1.4;-4.1;-1;-10.8;-7;0.7;-1.9;-1.4;-2.1;0.6;-4.5;-7.95;1.6;2.5;-2.2;-1.7;0.67;-1.875
01.09.2016;46.7;1.2;-4.3;-1.4;-11.5;-8.1;-0.1;-2.8;-2.2;-3.3;0.2;-4.25;-6.85;0.6;2.3;-2.3;-2.8;0.829;-2
01.10.2016;49.7;0.5;-2.9;0.3;-12.7;-6.5;1.8;-1.9;-0.9;-0.7;1.7;-4.75;-7.55;1.7;3.7;-1;-0.5;0.519;-2
01.11.2016;45.1;0.6;-2.8;0.8;-11.8;-5.6;2;-1.2;-0.7;-1.3;1.6;-5.2;-7.9;1.5;4;-0.1;-0.6;0.473;-2
01.12.2016;53.6;0.7;-4.2;-1.4;-12.2;-7.8;1.6;-1.8;-0.9;-1.5;-0.1;-4.5;-7.5;1.3;3.2;-0.4;-0.9;0.498;-2
01.01.2017;54.7;0.2;-4.7;-2;-12.8;-9.1;2.3;-1.7;-1;-1;-0.6;-4.2;-6.7;0.5;2.9;-0.5;-0.7;0.52;-2
01.02.2017;55.1;0.5;-3.8;-1.6;-12.4;-9.2;2.7;-1.8;-1.1;-0.7;0;-4.7;-7.25;1.5;2.1;0;0;0.69;-1.575
01.03.2017;51.6;0.3;-3.7;-1.9;-11.3;-8.9;1.7;-1.9;-1.4;-0.4;-0.2;-3.45;-6.05;1.3;1.6;0.2;0.1;0.652;-0.54
01.04.2017;52.5;0.4;-2.8;-1.4;-10.2;-7.7;1.5;-1.7;-0.8;-0.2;0.6;-3.9;-6.55;1.3;1.4;-0.5;0.3;0.647;-0.7
01.05.2017;50.4;0.4;-2.9;-1.8;-8.3;-5.4;1.4;-1.2;-1;0.1;0.1;-4.35;-7.05;1.1;1.3;-0.9;0.2;0.674;-0.7
01.06.2017;46.5;0.2;-2.6;-1.3;-5.9;-4.5;1;-0.7;-0.6;-0.1;0.7;-3.45;-6.1;1;1.7;-0.7;0.1;0.413;-0.7
01.07.2017;48.6;0.2;-2.7;-1.9;-5.8;-4.1;0.6;-0.7;-0.6;-1;0.4;-3.1;-5.4;0.8;1.3;-0.5;-1;0.686;-0.7
01.08.2017;51.6;0.5;-3.7;-3.6;-7.3;-5.4;1;-0.9;-0.6;-1.4;-0.6;-2.55;-4.4;1.4;1.3;-0.7;-1.3;0.928;-0.7
01.09.2017;56;0.4;-4.5;-6.3;-8.7;-7.2;0.1;-2.5;-1.9;-2.4;-1.2;-2.05;-4.1;1;1.4;-1.2;-1.9;1.454;-0.7
01.10.2017;57.4;0.4;-3.4;-5.8;-10.3;-8;0.6;-1.4;-0.6;-1.8;0.1;-2.15;-4.4;0.6;2.8;-0.8;-1.8;1.005;-0.7
01.11.2017;62.6;0.6;-3.3;-5.9;-11.7;-7.8;1.1;-1;-0.6;-1.8;-0.2;-2.7;-5.6;1.1;2.4;-1.2;-1.8;1.03;-0.7
01.12.2017;64.2;0.8;-4;-6.2;-12.4;-8.9;0.9;-0.7;-0.7;-2.6;-0.9;-1.8;-4.85;1.2;1.7;-1.7;-2.6;1.238;-0.7
01.01.2018;69.2;0.9;-5.1;-5.5;-12.8;-9.6;1.3;-0.9;-0.9;-3;-1.4;-1.2;-4.45;1;1.6;-1.9;-2.9;1.477;-0.7
01.02.2018;65.2;1.2;-4.2;-3;-11.9;-8.5;1.7;-1.7;-1.9;-2.5;-0.7;-1.2;-4.2;1.4;2.3;-1.4;-2.1;1.42;-0.7
01.03.2018;65.9;1.1;-3.8;-3.1;-12.5;-9.1;0.5;-2.2;-2.1;-3.2;-0.8;-1.75;-5.35;1.4;1.9;-0.9;-2.7;1.531;0
01.04.2018;71.8;0.7;-5.3;-5.5;-14.7;-13.8;-0.8;-3;-2.5;-3.5;-2.3;-3.15;-6.8;1.1;0.9;-2.3;-3.5;1.546;0
01.05.2018;76.9;0.8;-5.5;-7.1;-12.8;-13.3;0.1;-2.6;-2.1;-2.5;-1.7;-2.95;-6.7;0.3;1.6;-2.5;-2.5;1.427;0
01.06.2018;74.3;0.6;-3.9;-7;-9.7;-9.7;1.1;-1;-0.3;-0.7;0.3;-4.2;-8.35;1.6;2.5;-1.3;-0.7;0.54;0
01.07.2018;74.3;1;-5.2;-3.7;-8.1;-7.9;0.8;-1.7;-1.2;-1.2;-1.6;-2.4;-5.85;1.4;2.1;-1.2;-1.1;0.78;0
01.08.2018;72.6;1.2;-3.3;-4.8;-8.1;-9.5;2.2;-0.7;-0.7;-0.1;0;-2.85;-5.6;1.6;3.2;-0.2;0;0.671;0
01.09.2018;78.9;1.6;-4.4;-8.8;-10.3;-10;1.9;-1.2;-0.6;-1.6;-1.3;-3.25;-6;1;2.4;-0.9;-1;1.021;0
01.10.2018;81.2;1.4;-5.3;-10.4;-8.8;-5.8;3.1;-2.8;-1.7;-1.8;-2.3;-1.8;-5.1;0;2.8;-1.2;-1.1;1.279;-2.9
01.11.2018;64.7;1.1;-3.4;-8.2;-7;-1.5;4;0.4;0.5;0.8;0;-2.7;-6;2;5;0.3;1.1;0.795;-4.48
01.12.2018;57.4;1.3;-4;-8.4;-9.9;-4.7;2.1;0.3;0.5;-0.1;-1.4;-2.2;-5.2;1.7;3.9;-0.2;0.2;0.859;-5
01.01.2019;59.5;1.6;-2.8;-7.8;-12.2;-4.6;2.3;0;0.8;-0.4;-1.2;-1.6;-4;1.4;3.3;-0.4;-0.1;0.991;-5
01.02.2019;64;1.5;-2;-9;-10.9;-4.2;2.5;-0.4;-0.1;0.5;-0.9;-1.6;-4.3;1.3;3.8;0;0.6;1.038;-5.75
01.03.2019;66.1;1.3;-1.3;-7.9;-9.3;-4.4;2.5;-0.3;0.1;0.8;-0.3;-1.6;-4;1.3;4;0.9;0.8;0.974;-5.94
01.04.2019;71.3;1.4;-2.3;-7.4;-9.8;-6.5;1.7;-0.1;0.4;-0.3;-0.8;-1.9;-4.4;1.8;3.4;0.6;-0.1;1.08;-5.9
01.05.2019;71.1;1.9;-4.3;-10.3;-10.1;-8.4;0.5;-0.9;-0.2;-1.7;-2.1;-0.8;-3.5;1.5;2.7;0.1;-1.3;1.522;-5.82
01.06.2019;64.1;1.7;-4.6;-9.4;-8.1;-5.2;-0.2;-2.7;-2.5;-2.3;-2.8;0;-3;0.2;2.1;-0.3;-2.3;1.617;-6.375
01.07.2019;64;1.4;-2;-6.5;-6.9;-4.1;2.3;-1.1;-0.5;-0.8;-1.2;-1.1;-4;1.6;3.8;1.2;-0.3;0.786;-6.99
01.08.2019;59;1.3;-1.9;-4.2;-12.6;-8;4.2;-0.1;1.2;0.1;-0.5;-2.7;-5.5;2.9;4.4;2;0.7;0.683;-6.928
