Pred Year,Pred brent 2011,Pred FO 1% 2011,Pred FO 3.5% 2011,Pred Gasoil 2011,TD 2011,Actual 2011,MD 2011
2005,28,-5.7,-9.57,8.39,-2.01,-2.2,-2.59
2006,35,-5.74,-10.74,8.91,-1.94,-2.2,-3.32
2007,44,-8.58,-13.13,10.17,-2.25,-2.2,-3.94
2008,83.3,-13.55,-22.58,18.29,-3.73,-2.2,-4.83
2009,59,-9.26,-14.37,13.22,-2.62,-2.2,-3.58
2010,82,-7.32,-12.52,12.99,-2.33,-2.2,-3.4
