Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Butane 2013;Pred VGO 0.5% 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;-5.69;0.58;2.58;-10.6;1.09
2008;78.8;-13.72;-22;-22.24;0.67;1.88;-10.6;1.39
2009;67;-12.46;-17.85;-17.48;-0.09;2.45;-10.6;1.78
2010;83.75;-8.05;-13.6;-21.69;0.99;3.14;-10.6;3
2011;105;-3.58;-9.82;-22.97;7.97;2.36;-10.6;-3.46
2012;105;-4.8;-10.81;-30.74;4.76;2.22;-10.6;-8.18
