Pred Year;Pred brent 2012;Pred Propane 2012;Pred Naphtha 2012;Pred Butane 2012;TD 2012;Actual 2012;MD 2012
2006;35;-9.79;0.37;-5.78;3.56;-4.6;1.57
2007;35;-9.79;0.37;-5.78;3.6;-4.6;1.59
2008;82.5;-28.66;-2.86;-23.87;7.67;-4.6;-0.15
2009;63;-22.09;-2.52;-16.06;2.47;-4.6;0.54
2010;85;-30.69;-2.93;-21.83;1.22;-4.6;-0.61
2011;110;-36.65;1.28;-24.07;-1.18;-4.6;-1.89
