Pred Year;Pred brent 2014;Pred FO 1% 2014;Pred FO 3.5% 2014;Pred Jet 2014;TD 2014;Actual 2014;MD 2014
2008;75;-13.96;-21.85;22.9;-14.2;-12.1;-11.64
2009;71;-13.27;-18.76;18.56;-10.49;-12.1;-10.43
2010;82.5;-8.44;-14.03;18.61;-9.34;-12.1;-9.25
2011;100;1.37;-4.22;28.11;-7.22;-12.1;-7.47
2012;100;-6.84;-11.13;17.09;-5.11;-12.1;-9.28
2013;100;-7.03;-12.15;17.34;-6.64;-12.1;-8.66
