Pred Year;Pred brent 2012;Pred FO 1% 2012;Pred FO 3.5% 2012;TD 2012;Actual 2012;MD 2012
2006;35;-5.9;-10.9;1.44;1.2;0.35
2007;35;-5.9;-10.9;1.26;1.2;0.57
2008;82.5;-13.65;-22.31;3.83;1.2;2.83
2009;63;-10.86;-16.14;3.02;1.2;2.33
2010;85;-7.44;-12.9;2.54;1.2;1.96
2011;110;-4.09;-10.13;1.65;1.2;2.03
