Pred Year;Pred brent 2011;Pred Propane 2011;Pred Naphtha 2011;Pred Butane 2011;TD 2011;Actual 2011;MD 2011
2005;28;-7.4;1.92;-4.33;3.67;-3.5;1.41
2006;35;-9.94;0.26;-5.97;3.49;-3.5;1.53
2007;44;-12.9;-0.24;-7.97;4.74;-3.5;2.11
2008;83.3;-30.55;-2.81;-25.62;7.85;-3.5;-0.17
2009;59;-20.64;-2.59;-15.09;2.26;-3.5;0.39
2010;82;-29.1;-2.29;-20.55;1.34;-3.5;-0.3
