Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Propane 2013;Pred Naphtha 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;-9.71;0.37;1.27;2.1;0.29
2008;78.8;-13.72;-22;-26.93;-3.02;2.19;2.1;0.82
2009;67;-12.46;-17.85;-23.93;-3;2.18;2.1;0.87
2010;83.75;-8.05;-13.6;-30.36;-3.13;2.48;2.1;0.75
2011;105;-3.58;-9.82;-34.91;1.28;2.24;2.1;1.32
2012;105;-4.8;-10.81;-42.21;-7.31;2.6;2.1;1.8
