Pred Year;Pred brent 2013;Pred FO 1% 2013;Pred FO 3.5% 2013;Pred Jet 2013;TD 2013;Actual 2013;MD 2013
2007;35;-5.9;-10.9;11.28;-6.1;-11.3;-7.58
2008;78.8;-13.72;-22;23.32;-14.56;-11.3;-11.57
2009;67;-12.46;-17.85;17.69;-10.09;-11.3;-10.06
2010;83.75;-8.05;-13.6;17.74;-8.95;-11.3;-9
2011;105;-3.58;-9.82;22.56;-7.52;-11.3;-7.16
2012;105;-4.8;-10.81;17.04;-4.68;-11.3;-8.62
